Execution Price,Size Tokens,Size USD,Side,Timestamp IST,Start Position,Closed PnL,Fee,Direction,date,value,classification
242.22,112.05,27140.75,SELL,03-12-2024 20:56,612.05,1026.702945,9.499262,Close Long,2024-12-03,76,Extreme Greed
241.89,30.9,7474.4,SELL,03-12-2024 23:37,500.0,272.93661,2.61604,Close Long,2024-12-03,76,Extreme Greed
241.42,20.24,4886.34,SELL,03-12-2024 23:38,469.1,169.265096,1.710219,Close Long,2024-12-03,76,Extreme Greed
241.4,3.39,818.35,SELL,03-12-2024 23:38,448.86,28.282431,0.286421,Close Long,2024-12-03,76,Extreme Greed
241.39,14.77,3565.33,SELL,03-12-2024 23:38,445.47,123.076933,1.247865,Close Long,2024-12-03,76,Extreme Greed
241.38,14.81,3574.84,SELL,03-12-2024 23:38,430.7,123.262149,1.251193,Close Long,2024-12-03,76,Extreme Greed
241.34,33.93,8188.67,SELL,03-12-2024 23:38,415.89,281.038797,2.866033,Close Long,2024-12-03,76,Extreme Greed
241.32,29.24,7056.2,SELL,03-12-2024 23:38,381.96,241.607196,2.469668,Close Long,2024-12-03,76,Extreme Greed
241.29,3.12,752.82,SELL,03-12-2024 23:38,352.72,25.686648,0.263488,Close Long,2024-12-03,76,Extreme Greed
241.28,17.51,4224.81,SELL,03-12-2024 23:38,349.6,143.982979,1.478684,Close Long,2024-12-03,76,Extreme Greed
241.25,4.35,1049.44,SELL,03-12-2024 23:38,332.09,35.639115,0.367303,Close Long,2024-12-03,76,Extreme Greed
241.25,17.51,4224.29,SELL,03-12-2024 23:38,327.74,143.457679,1.4785,Close Long,2024-12-03,76,Extreme Greed
241.23,69.7,16813.73,SELL,03-12-2024 23:38,310.23,569.65113,5.884805,Close Long,2024-12-03,76,Extreme Greed
241.18,30.39,7329.46,SELL,03-12-2024 23:38,240.53,246.854931,2.565311,Close Long,2024-12-03,76,Extreme Greed
241.18,32.61,7864.88,SELL,03-12-2024 23:38,210.14,264.887769,2.752707,Close Long,2024-12-03,76,Extreme Greed
241.17,17.52,4225.3,SELL,03-12-2024 23:38,177.53,142.138008,1.478854,Close Long,2024-12-03,76,Extreme Greed
241.15,2.89,696.92,SELL,03-12-2024 23:38,160.01,23.388481,0.243923,Close Long,2024-12-03,76,Extreme Greed
241.14,0.08,19.29,SELL,03-12-2024 23:38,157.12,0.646632,0.006751,Close Long,2024-12-03,76,Extreme Greed
241.14,0.7,168.8,SELL,03-12-2024 23:38,157.04,5.65803,0.059079,Close Long,2024-12-03,76,Extreme Greed
241.14,0.08,19.29,SELL,03-12-2024 23:38,156.34,0.646632,0.006751,Close Long,2024-12-03,76,Extreme Greed
241.14,0.17,40.99,SELL,03-12-2024 23:38,156.26,1.374093,0.014347,Close Long,2024-12-03,76,Extreme Greed
241.14,0.08,19.29,SELL,03-12-2024 23:38,156.09,0.646632,0.006751,Close Long,2024-12-03,76,Extreme Greed
241.09,17.53,4226.31,SELL,03-12-2024 23:38,156.01,140.816737,1.479207,Close Long,2024-12-03,76,Extreme Greed
241.06,17.53,4225.78,SELL,03-12-2024 23:38,138.48,140.290837,1.479023,Close Long,2024-12-03,76,Extreme Greed
241.05,3.49,841.26,SELL,03-12-2024 23:38,120.95,27.895221,0.294442,Close Long,2024-12-03,76,Extreme Greed
241.04,9.83,2369.42,SELL,03-12-2024 23:38,117.46,78.471907,0.829298,Close Long,2024-12-03,76,Extreme Greed
241.04,4.1,988.26,SELL,03-12-2024 23:38,107.63,32.72989,0.345892,Close Long,2024-12-03,76,Extreme Greed
241.04,32.98,7949.5,SELL,03-12-2024 23:38,103.53,263.276042,2.782324,Close Long,2024-12-03,76,Extreme Greed
241.02,31.72,7645.15,SELL,03-12-2024 23:38,70.55,252.583188,2.675804,Close Long,2024-12-03,76,Extreme Greed
240.97,4.86,1171.11,SELL,03-12-2024 23:38,38.83,38.456694,0.409889,Close Long,2024-12-03,76,Extreme Greed
240.95,33.35,8035.68,SELL,03-12-2024 23:38,33.97,263.228215,2.812488,Close Long,2024-12-03,76,Extreme Greed
240.94,0.62,149.38,SELL,03-12-2024 23:38,0.62,4.887398,0.052283,Close Long,2024-12-03,76,Extreme Greed
11.076,0.00860239,0.1,SELL,04-12-2024 05:30,0.00860239,0.0,0.0,Spot Dust Conversion,2024-12-04,78,Extreme Greed
0.60975,2834.9,1728.58,BUY,04-03-2025 23:23,0.0,0.0,0.580802,Open Long,2025-03-04,15,Extreme Fear
0.60975,190.9,116.4,BUY,04-03-2025 23:23,2834.9,0.0,0.03911,Open Long,2025-03-04,15,Extreme Fear
0.60976,2818.6,1718.67,BUY,04-03-2025 23:23,3025.8,0.0,0.577472,Open Long,2025-03-04,15,Extreme Fear
0.60981,3689.6,2249.95,BUY,04-03-2025 23:23,5844.4,0.0,0.755984,Open Long,2025-03-04,15,Extreme Fear
0.61007,3688.1,2250.0,BUY,04-03-2025 23:23,9534.0,0.0,0.755999,Open Long,2025-03-04,15,Extreme Fear
0.61018,1306.3,797.08,BUY,04-03-2025 23:23,13222.1,0.0,0.267817,Open Long,2025-03-04,15,Extreme Fear
0.61033,3131.3,1911.13,BUY,04-03-2025 23:23,14528.4,0.0,0.642138,Open Long,2025-03-04,15,Extreme Fear
0.61039,5238.8,3197.71,BUY,04-03-2025 23:23,17659.7,0.0,1.07443,Open Long,2025-03-04,15,Extreme Fear
0.61041,5113.1,3121.09,BUY,04-03-2025 23:23,22898.5,0.0,1.048684,Open Long,2025-03-04,15,Extreme Fear
0.61041,1644.7,1003.94,BUY,04-03-2025 23:23,28011.6,0.0,0.337323,Open Long,2025-03-04,15,Extreme Fear
